source, website
Others,NULL
Vanguard, www.vanguardngr.com
The Punch, www.punching.com
This Day, www.thisdaylive.com
The Nation, www.thenatonlineng.com
Nigerian Tribune, www.tribune.com.ng
The Guardian, www.ngrguardiannews.com
Sahara Reporters, www.saharareporters.com
Leadership Nigeria, www.leadership.ng
The Sun, www.sunnewsonline.com
PM News, www.pmnewsnigeria.com
Daily Trust, www.dailytrust.com.ng
Premium Times, www.premiumtimesng.com
NEXT, www.234next.com
Daily Independent, www.dailyindependentnig.com
Osun Defender,,1
Daily Post, www.dailypost.ng
Daily Times, www.dailytimes.com.ng
Channels Television, www.channelstv.com
National Mirror Newspapers, www.nationalmirroronline.net
Nairaland, www.nairaland.com
Businessday News, www.businessdayonline.com
Daily Newswatch, www.mydailynewswatching.com
Complete Sports, www.completesportsNigeria.com
Nigeria World, www.nigeriaworld.com
The Advocate, www.theadvocatengr.com
The Nigerian Observer, www.nigerianobservernews.com
Nigerian Pilot, www.nigerianpilot.com
The People’s Daily, www.peoplesdaily-online.com
Champion News, www.champions.com.ng
Business News, www.businessnews.com.ng
National Daily Newspaper, www.nationaldailyng.com
Compass, www.compass newspaper.com
The Tide, www.the tide news online.com
The Abuja Inquirer, www.theabujainquirer.com
The Abuja Voice, www.abujavoice.com
Daily Post Nigeria, www.dailypost-ng.com
Weekly Trust, www.weeklytrust.dailytrust.com
Blueprint, www.blueprint.ng
National Accord, www.nationalaccordnewspaper.com
Urhobo Voice, www.urhobotimes.com
Sunday Trust, www.sundaytrust.com.ng
Africa Punch, www.africapunch.com
Tell, www.tell.ng
The Times of Nigeria, www.thetimesnigeria.com
Imo Trumpeta, www.imotrumpeta.com
Nigeria 24 News, www.nigeria24news.com
Network Africa,  www.networkafrica.com
Nigerian News, www.nigeriannews.com
The Triumph Newspapers, www.triumphnews.ng
News Naija, www.naij.com
